0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
0.864649169,0.055421246,0.074723814,0.129805734,0.098059892,0.088582682,0.137527232,0.094993248,0.159239895,0.100326749,0.144929847,0.089742933,0.169029064,0.106965884,4.07e-10,2.18e-08,6.89e-07,0.10021777,0.141578195,0.467839425,0.6285848,5.86e-17,0.538921642,0.973111824,7.52e-13,0.052111609,0.29490635,0.31689432,0.264161233,0.420304008,0.850577631,0.080716049,0.045562791,0.999998998,0.09666086,0.232867406,0.439489042,0.084654638,0.013960172,0.111494296,0.013960172,0.017019314,0.917749855,0.010787641,0.839253114,0.879958385,0.437045039,0.125401423,0.050675202,0.061316334,0.079831729,9.94e-22,0.142492255,0.062963133,0.358206967,0.865038246,0.38583405,0.084738831,0.055286669,0.007285538,5.7e-08,0.33566922,0.0,1.1400000000000001e-21,2.3999999999999997e-23,0.109325795,0.123903813,5.7600000000000004e-21,3.61e-15,0.145980119,1.74e-22,1.18e-10,0.324971072,9.05e-08,4.61e-10,0.157072376,0.639170732,0.594802481,0.41484431,0.027500884,0.120265673,0.12445963,0.07318165,0.167096874,0.412167098,8.79e-24,0.24255506,0.644092566,0.647535927,5.3e-05,1.43e-16,0.03731604,6.95e-13,0.0,9.8e-13,0.402994291,1.2e-11,2.86e-09,0.452309445,0.667442161,2.99e-06,0.277639012,5.3e-05,0.017069044,5.3e-05,0.5,1.0,5.3e-05,5.3e-05,0.978612108,5.3e-05,0.998653446,0.628217573,0.024596428,5.71e-19,3.32e-10,9.64e-10,7.11e-15,5.84e-13,0.796811614,0.165079548,0.167040631,0.166498334,0.166486816,0.202864661,0.069365881,7.11e-15,0.16834648,0.167982932,0.522329168,0.001181573,0.164332634,0.000837777,0.166325734,0.163034142,0.165079548,9.57e-08,3.5e-08,0.168206175,0.165806858,0.167346595,7.14e-07,2.64e-12,0.099912791,2.87e-10,0.377737848,0.004506168,0.133250251,0.358229365,1.61e-09,1.88e-18,2.09e-07,7.11e-15,0.499264281,0.164929402,1.32e-17,2.11e-16,1.17e-09,3.26e-22,6.25e-10,0.168149182,0.165450729,1.17e-13,0,0.164668868,0.166924728,0.0,5.1e-08,7.11e-15,0.154654108,2.7900000000000003e-22,0.0,0.167639733,6.31e-25,0.16818613,0.009088503,0.168363202,8.27e-11,0.156346354,0.0,0.0,0.021135424,0.021135424,2.39e-20,0.0,8.34e-25,5.3e-05,0.999979121,4.03e-08,1.55e-23,1.59e-17,5.77e-14,2.96e-11,0.168378369,0.167380186,1.48e-18,2.32e-16,4.7e-08,0.166633397,0.839445823
0.842330076,0.259999665,0.289164738,0.180079828,0.249097828,0.251501285,0.16323628,0.189764268,0.13446842,0.168415631,0.118098104,0.14773003,0.118304831,0.151144423,0.855338485,0.511302312,6.89e-07,0.232928691,0.726327152,2.51e-11,9.26e-11,0.919824054,1.09e-06,0.320457633,0.923178585,0.355130662,0.38206783,0.280847562,0.278834042,0.146698659,0.695733591,0.260175584,0.388503519,0.999998998,0.360233617,0.466122385,0.602862961,0.306162699,0.165339527,0.709365515,0.165339527,0.867242579,0.405057554,0.87582829,0.160050452,0.281547819,0.629202829,0.258775953,0.353802268,0.707278687,0.305168451,9.94e-22,0.142492255,0.062963133,0.635287782,4.83e-15,0.38583405,0.307072713,0.731660206,0.490771238,5.7e-08,0.466310264,0.0,1.1400000000000001e-21,2.3999999999999997e-23,0.252740492,0.612260161,5.7600000000000004e-21,0.988100121,0.145980119,1.74e-22,0.961114847,0.31225737,0.634174011,4.61e-10,0.157072376,0.763574911,0.178399393,0.142830879,0.784887402,0.120265673,0.771572792,0.956556821,0.167096874,0.075581009,8.79e-24,0.11338539,0.411958233,0.521903092,5.3e-05,1.43e-16,0.314426234,0.994857612,0.0,0.994145554,0.261838683,0.795009249,2.86e-09,0.072529081,0.46658937,0.999999113,0.277639012,5.3e-05,0.533315003,5.3e-05,0.998898062,1.0,5.3e-05,5.3e-05,0.164664515,5.3e-05,0.0,0.28669388,0.020286834,1.0,3.32e-10,9.64e-10,7.11e-15,5.84e-13,1.2e-20,0.165079548,0.167040631,0.999999894,0.999999893,0.797135339,0.5,7.11e-15,0.16834648,0.167982932,6.87e-10,0.598257153,0.164332634,0.000837777,0.166325734,0.163034142,0.165079548,9.57e-08,3.5e-08,0.168206175,0.165806858,0.167346595,7.14e-07,2.64e-12,0.923236754,2.87e-10,0.377737848,0.004506168,0.133250251,0.635349613,1.61e-09,1.88e-18,2.09e-07,7.11e-15,0.499264281,0.999974644,0.76084478,2.11e-16,1.17e-09,0.970069374,6.25e-10,0.168149182,0.165450729,1.17e-13,0,0.164668868,0.166924728,0.0,5.1e-08,7.11e-15,0.154654108,2.7900000000000003e-22,0.0,0.167639733,6.31e-25,0.16818613,0.009088503,0.168363202,8.27e-11,0.999995237,0.0,0.0,0.021135424,0.021135424,2.39e-20,0.0,8.34e-25,5.3e-05,0.156951066,4.03e-08,1.55e-23,1.59e-17,5.77e-14,2.96e-11,0.168378369,0.167380186,1.48e-18,2.32e-16,4.7e-08,0.166633397,0.792773063
0.80450388,0.651111446,0.610745406,0.517784185,0.534380126,0.557544536,0.440233159,0.414899665,0.411356346,0.380221023,0.444247186,0.384200873,0.455756054,0.369262747,0.855338485,0.694809919,6.89e-07,0.437972794,0.883136345,2.51e-11,0.765708652,0.950509553,1.09e-06,2.39e-11,0.906839482,0.593244355,0.514107927,0.428224007,0.35425742,0.228752301,0.288828608,0.574166291,0.615691242,0.999998998,0.599079235,0.541876863,0.536071194,0.568825732,0.673552473,0.879824367,0.673552473,0.867242579,0.710990477,0.87582829,0.15392742,0.104439025,0.516571115,0.510407119,0.594193987,0.436076719,0.694831549,9.94e-22,0.142492255,0.062963133,0.635287782,0.865038246,0.617764784,0.679604425,0.47446924,0.620811562,5.7e-08,0.466310264,0.0,1.1400000000000001e-21,2.3999999999999997e-23,0.564695742,0.586008538,0.466400899,0.988100121,0.145980119,0.977808184,0.961114847,0.812646954,0.634174011,4.61e-10,0.157072376,0.247889618,0.803226029,0.50139267,0.711055671,0.396613874,0.894214688,0.91563407,0.167096874,0.179593882,8.79e-24,0.265739075,0.46749591,0.621208232,5.3e-05,0.699547846,0.276030989,6.95e-13,0.709806361,0.985489826,0.595587646,0.795009249,0.947216808,0.410208167,0.46658937,0.999490234,0.9857295,5.3e-05,0.731105933,5.3e-05,0.993605612,1.0,5.3e-05,5.3e-05,0.164664515,5.3e-05,0.0,0.616255425,0.021713968,1.0,3.32e-10,9.64e-10,7.11e-15,5.84e-13,0.796811614,0.165079548,0.167040631,0.999999894,0.999999893,0.895953243,0.930634119,7.11e-15,0.16834648,0.167982932,0.277430427,0.001181573,0.164332634,0.000837777,0.166325734,0.163034142,0.165079548,9.57e-08,3.5e-08,0.168206175,0.165806858,0.167346595,7.14e-07,2.64e-12,0.099912791,2.87e-10,0.377737848,0.004506168,0.133250251,0.635349613,1.61e-09,0.914027309,2.09e-07,7.11e-15,0.499264281,0.999974644,0.847532931,2.11e-16,1.17e-09,0.909514638,6.25e-10,0.168149182,0.165450729,1.17e-13,0,0.164668868,0.166924728,0.0,5.1e-08,7.11e-15,0.999224706,2.7900000000000003e-22,0.0,0.167639733,6.31e-25,0.16818613,0.009088503,0.168363202,8.27e-11,0.156346354,0.0,0.0,0.021135424,0.021135424,2.39e-20,0.0,8.34e-25,5.3e-05,0.156951066,4.03e-08,1.55e-23,1.59e-17,5.77e-14,2.96e-11,0.168378369,0.167380186,1.48e-18,2.32e-16,4.7e-08,0.166633397,0.537081564
0.740475231,0.272799255,0.259229971,0.342573714,0.363832571,0.260203601,0.325166122,0.36648799,0.372696665,0.457702822,0.326215445,0.471133733,0.362122113,0.554880462,4.07e-10,0.264869665,6.89e-07,0.215239298,0.019674268,0.6969286,0.81802091,0.675748594,0.53771055,0.943397904,7.52e-13,0.255079265,0.477217042,0.48618697,0.574342983,0.42594917,0.826801187,0.260175584,0.243174731,0.999998998,0.284645823,0.298577282,0.442335693,0.301785665,0.175409218,0.145095681,0.175409218,0.09414696,0.564595601,0.078699981,0.778175202,0.844832077,0.750982934,0.375648874,0.250252708,0.061316334,0.124047371,9.94e-22,0.918732282,0.5,0.635287782,4.83e-15,0.38583405,0.307072713,0.055286669,0.098237397,5.7e-08,0.33566922,0.0,1.1400000000000001e-21,2.3999999999999997e-23,0.252740492,0.344810951,5.7600000000000004e-21,0.985031854,0.145980119,1.74e-22,1.18e-10,0.31225737,9.05e-08,4.61e-10,0.157072376,0.552192381,0.848519911,0.504376527,0.446620263,0.396613874,0.182881065,0.737163258,0.167096874,0.190569145,8.79e-24,0.47795026,0.822909696,0.375082922,5.3e-05,1.43e-16,0.286780456,0.994857612,0.0,0.985746201,0.540358906,1.2e-11,2.86e-09,0.454530047,0.623171942,2.99e-06,0.277639012,5.3e-05,0.028429774,5.3e-05,0.954484341,1.0,5.3e-05,5.3e-05,0.662776948,5.3e-05,0.998653446,0.8658809,0.024567414,5.71e-19,3.32e-10,9.64e-10,7.11e-15,5.84e-13,1.2e-20,0.165079548,0.167040631,0.166498334,0.166486816,0.5,0.5,7.11e-15,0.16834648,0.167982932,0.522329168,0.001181573,0.164332634,0.000837777,0.166325734,0.163034142,0.165079548,9.57e-08,3.5e-08,0.168206175,0.165806858,0.167346595,7.14e-07,2.64e-12,0.923236754,2.87e-10,0.377737848,0.004506168,0.133250251,0.635349613,1.61e-09,0.986914419,2.09e-07,7.11e-15,0.499264281,0.164929402,1.32e-17,2.11e-16,1.17e-09,3.26e-22,6.25e-10,0.168149182,0.165450729,1.17e-13,0,0.164668868,0.999999993,0.966151653,5.1e-08,7.11e-15,0.154654108,2.7900000000000003e-22,0.0,0.167639733,6.31e-25,0.16818613,0.009088503,0.168363202,8.27e-11,0.999907578,0.0,0.0,0.021135424,0.021135424,2.39e-20,0.0,8.34e-25,5.3e-05,0.156951066,4.03e-08,1.55e-23,1.59e-17,5.77e-14,2.96e-11,0.168378369,0.167380186,1.48e-18,2.32e-16,4.7e-08,0.166633397,0.772595378
0.957422766,0.015090963,0.006107565,0.005572814,0.003507557,0.005705117,0.005599589,0.00390289,0.006218918,0.002921558,0.004845692,0.002569009,0.007347526,0.004096634,4.07e-10,0.264869665,6.89e-07,0.413371366,0.135223294,2.51e-11,0.854985615,0.547154511,1.09e-06,0.169193221,0.370561675,0.003498803,0.917649155,0.638384729,0.295614494,0.146698659,0.880287962,0.005699067,0.003726087,0.999998998,0.004602529,0.008183173,0.299601022,0.004300821,0.073453208,0.956784028,0.073453208,0.247535823,0.562962461,0.234865517,0.687203809,0.019689052,0.111740112,0.005819007,0.003470935,0.707278687,0.124047371,9.94e-22,0.142492255,0.062963133,0.358206967,4.83e-15,0.083757738,0.084738831,0.731660206,0.03345758,5.7e-08,0.016145846,0.0,1.1400000000000001e-21,2.3999999999999997e-23,0.039063566,0.377035767,0.466400899,3.61e-15,0.842363838,1.74e-22,1.18e-10,0.31225737,9.05e-08,4.61e-10,0.157072376,6.03e-26,0.18561264,0.27311922,0.027500884,0.026103288,0.326546709,0.235566116,0.167096874,0.075581009,8.79e-24,0.123383364,0.183906904,0.112387445,5.3e-05,0.699547846,0.314426234,0.983837341,0.709806361,9.8e-13,0.048029291,0.245298863,2.86e-09,0.095531091,0.176829806,2.99e-06,0.277639012,5.3e-05,0.173758387,5.3e-05,0.5,1.0,5.3e-05,5.3e-05,0.533437389,5.3e-05,0.998653446,0.691892499,0.020286834,5.71e-19,3.32e-10,9.64e-10,7.11e-15,5.84e-13,1.2e-20,0.165079548,0.999999997,0.166498334,0.166486816,0.5,0.5,7.11e-15,0.16834648,0.167982932,6.87e-10,0.598257153,0.164332634,0.000837777,0.166325734,0.163034142,0.165079548,9.57e-08,3.5e-08,0.168206175,0.165806858,0.167346595,0.753321287,2.64e-12,0.879726585,2.87e-10,0.377737848,0.004506168,0.133250251,0.358229365,1.61e-09,1.88e-18,2.09e-07,7.11e-15,0.499264281,0.164929402,1.32e-17,2.11e-16,1.17e-09,3.26e-22,6.25e-10,0.168149182,0.165450729,1.17e-13,0,0.164668868,0.166924728,0.0,5.1e-08,7.11e-15,0.154654108,2.7900000000000003e-22,0.0,0.167639733,6.31e-25,0.16818613,0.009088503,0.168363202,8.27e-11,0.156346354,0.965618637,0.965824606,0.021135424,0.021135424,2.39e-20,0.0,8.34e-25,5.3e-05,0.156951066,4.03e-08,1.55e-23,1.59e-17,5.77e-14,2.96e-11,0.168378369,0.167380186,1.48e-18,2.32e-16,4.7e-08,0.166633397,0.498108376
0.751920022,0.200205482,0.243373442,0.222534039,0.23967935,0.197918064,0.245263001,0.379798347,0.262050306,0.45351593,0.263153991,0.456701689,0.265333867,0.417757508,0.833834258,0.791806416,6.89e-07,0.548151881,0.131845503,0.717549185,0.930547676,5.86e-17,0.440912379,0.169193221,7.52e-13,0.2480292,0.386262385,0.212154251,0.14749665,0.682903654,0.800130397,0.214324837,0.243005641,0.999998998,0.312729927,0.320491274,0.542118724,0.204022535,0.249925763,0.138715062,0.249925763,0.83734654,0.209196176,0.843650539,0.039327905,0.851475261,0.226191072,0.185960082,0.243126058,0.707278687,0.5,0.999952139,0.142492255,0.5,0.358206967,4.83e-15,0.083757738,0.307072713,0.731660206,0.490771238,5.7e-08,0.214297517,0.895426771,1.1400000000000001e-21,0.880663973,0.252740492,0.139280564,5.7600000000000004e-21,0.985031854,0.145980119,0.991558934,0.899613565,0.31225737,0.91971082,4.61e-10,0.157072376,0.572485968,0.327316365,0.24971977,0.171644698,0.120265673,0.730359799,0.527773853,0.167096874,0.419815119,8.79e-24,0.814966081,0.030449467,0.153082491,5.3e-05,1.43e-16,0.602597587,0.978907593,0.0,9.8e-13,0.316085709,0.480551966,2.86e-09,0.826425838,0.239109146,2.99e-06,0.277639012,5.3e-05,0.711016723,5.3e-05,0.5,1.0,5.3e-05,5.3e-05,0.164664515,5.3e-05,0.998653446,0.68646748,0.017124353,5.71e-19,3.32e-10,9.64e-10,7.11e-15,5.84e-13,1.2e-20,0.165079548,0.167040631,0.166498334,0.166486816,0.797135339,0.930634119,7.11e-15,0.16834648,0.167982932,6.87e-10,0.838411761,0.164332634,0.000837777,0.166325734,0.163034142,0.165079548,9.57e-08,3.5e-08,0.168206175,0.165806858,0.167346595,0.898641578,2.64e-12,0.099912791,2.87e-10,0.377737848,0.004506168,0.133250251,0.358229365,1.61e-09,1.88e-18,2.09e-07,7.11e-15,0.499264281,0.164929402,1.32e-17,2.11e-16,1.17e-09,3.26e-22,6.25e-10,0.168149182,0.165450729,1.17e-13,0,0.164668868,0.999999993,0.966151653,5.1e-08,7.11e-15,0.154654108,2.7900000000000003e-22,0.0,0.167639733,6.31e-25,0.16818613,0.009088503,0.168363202,8.27e-11,0.156346354,0.0,0.0,0.021135424,0.021135424,2.39e-20,0.0,8.34e-25,5.3e-05,0.156951066,4.03e-08,1.55e-23,0.999956513,5.77e-14,2.96e-11,0.168378369,0.167380186,1.48e-18,2.32e-16,4.7e-08,0.999999984,0.890795805
0.985198002,0.003196581,0.00581554,0.013163547,0.008479485,0.002451495,0.006540529,0.004462327,0.035192115,0.019039143,0.003354439,0.001787155,0.001999012,0.001108714,4.07e-10,0.264869665,6.89e-07,0.220288916,0.161090354,0.288025073,0.668050435,5.86e-17,1.09e-06,0.609711154,0.349110783,0.002876272,0.939453003,0.621864677,0.15834197,0.990872844,0.970667404,0.003382784,0.002239427,0.999998998,0.017421712,0.017679925,0.815581605,0.003426807,0.065411687,0.550890112,0.065411687,0.753692451,0.75194918,0.75122553,0.640224397,0.438101422,0.043789282,0.003976273,0.002857945,0.061316334,0.124047371,9.94e-22,0.142492255,0.062963133,0.034722889,4.83e-15,0.0111776,0.084738831,0.055286669,0.03345758,5.7e-08,0.117447624,0.0,1.1400000000000001e-21,2.3999999999999997e-23,0.041122974,0.315236973,0.758944192,3.61e-15,0.145980119,1.74e-22,0.898279735,0.31225737,9.05e-08,4.61e-10,0.157072376,6.03e-26,0.023724068,0.161089497,0.762859088,0.004928455,0.547349213,0.135992629,0.167096874,0.075581009,8.79e-24,0.123383364,0.845540676,0.025836931,5.3e-05,1.43e-16,0.03731604,6.95e-13,0.0,9.8e-13,0.647461535,0.460528584,2.86e-09,0.095531091,0.030994493,2.99e-06,0.277639012,5.3e-05,0.034542587,5.3e-05,0.5,1.0,5.3e-05,5.3e-05,0.164664515,5.3e-05,0.998653446,0.826501435,0.026993813,5.71e-19,3.32e-10,9.64e-10,7.11e-15,5.84e-13,1.2e-20,0.165079548,0.167040631,0.166498334,0.166486816,0.5,0.5,7.11e-15,0.16834648,0.167982932,0.277430427,0.001181573,0.164332634,0.000837777,0.999999598,0.163034142,0.165079548,9.57e-08,3.5e-08,0.168206175,0.165806858,0.167346595,7.14e-07,2.64e-12,0.099912791,2.87e-10,0.377737848,0.004506168,0.133250251,0.034729928,1.61e-09,1.88e-18,2.09e-07,7.11e-15,0.499264281,0.999974644,0.76084478,2.11e-16,1.17e-09,3.26e-22,6.25e-10,0.168149182,0.165450729,1.17e-13,0,0.164668868,0.166924728,0.0,5.1e-08,7.11e-15,0.154654108,2.7900000000000003e-22,0.0,0.167639733,6.31e-25,0.16818613,0.009088503,0.168363202,8.27e-11,0.156346354,0.0,0.0,0.021135424,0.021135424,2.39e-20,0.0,8.34e-25,5.3e-05,0.156951066,1.0,1.55e-23,1.59e-17,5.77e-14,2.96e-11,0.168378369,0.167380186,1.48e-18,2.32e-16,4.7e-08,0.166633397,0.255599729
0.172052244,0.700367609,0.613107889,0.691002818,0.650900589,0.673865669,0.782544325,0.724158622,0.881745527,0.834222995,0.930604258,0.896742015,0.969850297,0.955750308,0.603410636,0.525295483,6.89e-07,0.205516969,0.131845503,0.748838679,0.983520571,0.685010806,0.53771055,0.766012962,0.349110783,0.583093652,0.088079133,0.071803455,0.093239394,0.559948594,0.478759691,0.666219603,0.565715887,0.999998998,0.495406542,0.310439991,0.395951457,0.662225452,0.118478529,0.877328219,0.118478529,0.853824623,0.849872832,0.861467749,0.234752239,0.107181355,0.969827814,0.706495203,0.582295642,0.436076719,0.124047371,0.999999995,0.142492255,0.976002192,0.964007726,4.83e-15,0.617764784,0.084738831,0.47446924,0.03345758,5.7e-08,0.214297517,0.958435578,1.1400000000000001e-21,0.977432166,0.65053418,0.347051013,0.466400899,3.61e-15,0.145980119,1.74e-22,0.898279735,0.059983379,0.634174011,4.61e-10,0.157072376,0.46654306,0.998918951,0.141106963,0.499121853,0.995339366,0.582293604,0.37239501,0.167096874,0.075581009,0.998409988,0.766522109,0.247288175,0.643495306,5.3e-05,0.748510817,0.276030989,6.95e-13,0.709806361,9.8e-13,0.154398798,0.275515546,0.979071923,0.864757575,0.665163947,2.99e-06,0.993351906,5.3e-05,0.145127857,5.3e-05,0.5,1.0,5.3e-05,5.3e-05,1.0,5.3e-05,0.998653446,0.399820633,0.021993407,5.71e-19,3.32e-10,9.64e-10,7.11e-15,1.0,1.2e-20,0.165079548,0.167040631,0.999999894,0.999999893,0.5,0.069365881,7.11e-15,0.16834648,0.167982932,6.87e-10,0.001181573,0.164332634,0.000837777,0.166325734,0.163034142,0.165079548,9.57e-08,3.5e-08,0.168206175,0.165806858,0.167346595,7.14e-07,2.64e-12,0.099912791,2.87e-10,0.377737848,0.004506168,0.133250251,0.96401724,1.61e-09,0.914027309,2.09e-07,7.11e-15,0.499264281,0.164929402,0.76084478,2.11e-16,1.17e-09,3.26e-22,6.25e-10,0.168149182,0.165450729,1.17e-13,0,0.164668868,0.166924728,0.0,5.1e-08,7.11e-15,0.999224706,2.7900000000000003e-22,0.0,0.167639733,6.31e-25,0.16818613,0.009088503,0.168363202,8.27e-11,0.156346354,0.0,0.0,0.021135424,0.021135424,2.39e-20,0.0,8.34e-25,5.3e-05,0.156951066,4.03e-08,1.55e-23,1.59e-17,5.77e-14,2.96e-11,0.168378369,0.167380186,1.48e-18,2.32e-16,4.7e-08,0.166633397,0.384374758
0.878378276,0.136507491,0.080066098,0.109151401,0.081074249,0.085198651,0.105223854,0.070621395,0.095137533,0.056477053,0.120433677,0.073193812,0.145749291,0.091093369,4.07e-10,0.264869665,6.89e-07,0.218592553,0.159301089,0.316327556,0.888071381,0.414654129,0.585578291,0.656896343,0.349110783,0.055842427,0.835879505,0.908864343,0.915240091,0.34362537,0.761893909,0.080716049,0.052889342,0.999998998,0.083472589,0.137997148,0.364566932,0.07457611,0.089488088,0.879841348,0.089488088,0.23075604,0.053015157,0.217294677,0.741294086,0.10442035,0.287052601,0.103877354,0.054280503,0.436076719,0.124047371,9.94e-22,0.142492255,0.062963133,0.635287782,4.83e-15,0.38583405,0.084738831,0.47446924,0.03345758,5.7e-08,0.214297517,0.0,1.1400000000000001e-21,2.3999999999999997e-23,0.109325795,0.357889258,0.466400899,3.61e-15,0.842363838,1.74e-22,1.18e-10,0.31225737,9.05e-08,4.61e-10,0.157072376,0.46654306,0.397554714,0.294287813,0.263373505,0.120265673,0.311205458,0.370481447,0.167096874,0.205072372,8.79e-24,0.265739075,0.465637191,0.285181816,5.3e-05,0.699547846,0.603355119,6.95e-13,0.709806361,9.8e-13,0.180125051,0.527041783,2.86e-09,0.207316421,0.356556979,2.99e-06,0.98554162,5.3e-05,0.082246362,5.3e-05,0.5,1.0,5.3e-05,5.3e-05,0.999884678,5.3e-05,0.998653446,0.781544076,0.021861173,5.71e-19,3.32e-10,9.64e-10,7.11e-15,5.84e-13,1.2e-20,0.165079548,0.167040631,0.166498334,0.166486816,0.5,0.5,7.11e-15,0.16834648,0.167982932,6.87e-10,0.598257153,0.164332634,0.000837777,0.166325734,0.163034142,0.165079548,9.57e-08,3.5e-08,0.168206175,0.165806858,0.167346595,0.753321287,2.64e-12,0.099912791,2.87e-10,0.377737848,0.004506168,0.133250251,0.635349613,1.61e-09,0.914027309,2.09e-07,7.11e-15,0.499264281,0.164929402,0.76084478,2.11e-16,1.17e-09,3.26e-22,6.25e-10,0.168149182,0.165450729,1.17e-13,0,0.164668868,0.166924728,0.0,5.1e-08,7.11e-15,0.999224706,2.7900000000000003e-22,0.0,0.167639733,6.31e-25,0.16818613,0.009088503,0.168363202,8.27e-11,0.156346354,0.0,0.0,0.021135424,0.021135424,2.39e-20,0.0,8.34e-25,5.3e-05,0.156951066,4.03e-08,1.55e-23,1.59e-17,5.77e-14,2.96e-11,0.168378369,0.167380186,1.48e-18,2.32e-16,4.7e-08,0.166633397,0.971841802
0.849577756,0.129663989,0.080066098,0.091324531,0.100546064,0.086239566,0.082998865,0.119515401,0.055466648,0.108698206,0.052776755,0.143350126,0.058665395,0.136218395,0.609589012,0.264869665,6.89e-07,0.10021777,0.142423994,0.562818659,0.770916442,0.538599763,0.585578291,0.716419244,7.52e-13,0.090148474,0.984120982,0.99241937,0.993409016,0.456266556,0.846464448,0.080716049,0.091762352,0.999998998,0.095892895,0.163718691,0.383450775,0.084746162,0.101928421,0.50005759,0.101928421,0.956302979,0.923801143,0.965475968,0.410533493,0.488064064,0.457165412,0.1056727,0.087694094,0.707278687,0.305168451,9.94e-22,0.142492255,0.062963133,0.358206967,0.865038246,0.38583405,0.307072713,0.731660206,0.346464367,5.7e-08,0.214297517,0.0,1.1400000000000001e-21,2.3999999999999997e-23,0.116455672,0.340756207,5.7600000000000004e-21,3.61e-15,0.84332052,1.74e-22,0.900926787,0.347430275,0.803460057,4.61e-10,0.999995893,0.156718534,0.29415047,0.132134946,0.68602473,0.120265673,0.311205458,0.851321326,0.167096874,0.416325857,8.79e-24,0.37650502,0.588181087,0.079166438,5.3e-05,1.43e-16,0.314426234,0.994330015,0.0,0.985746201,0.370652369,0.242464816,2.86e-09,0.226124972,0.164015869,2.99e-06,0.985912809,5.3e-05,0.413894223,5.3e-05,0.955119376,1.0,5.3e-05,5.3e-05,0.999999874,5.3e-05,0.998653446,0.777946872,0.02151714,5.71e-19,3.32e-10,9.64e-10,7.11e-15,5.84e-13,0.901222735,0.999986066,0.167040631,0.166498334,0.166486816,0.5,0.5,7.11e-15,0.16834648,0.167982932,0.277430427,0.838411761,0.164332634,0.000837777,0.166325734,0.163034142,0.999986066,9.57e-08,3.5e-08,0.168206175,0.165806858,0.167346595,0.753321287,2.64e-12,0.879726585,2.87e-10,0.377737848,0.004506168,0.133250251,0.358229365,1.61e-09,0.914027309,2.09e-07,7.11e-15,0.499264281,0.164929402,0.76084478,2.11e-16,1.17e-09,3.26e-22,6.25e-10,0.168149182,0.999995363,1.17e-13,0,0.164668868,0.166924728,0.0,5.1e-08,7.11e-15,0.999224706,2.7900000000000003e-22,0.0,0.167639733,6.31e-25,0.16818613,0.009088503,0.168363202,8.27e-11,0.156346354,0.0,0.0,0.021135424,0.021135424,2.39e-20,0.0,8.34e-25,5.3e-05,0.156951066,4.03e-08,0.999999999,1.59e-17,5.77e-14,2.96e-11,0.168378369,0.167380186,1.48e-18,2.32e-16,4.7e-08,0.166633397,0.893968564
